Frame,car,bike,truck,tuk tuk,ambulance,bus,person,potholes,lorry
465,1,2,0,0,0,1,7,0,0
466,1,2,0,0,0,1,7,0,0
467,1,2,0,0,0,1,7,0,0
468,1,2,0,0,0,0,7,0,0
469,1,2,0,0,0,0,7,0,0
470,0,2,0,0,0,1,7,0,0
471,0,2,0,0,0,1,7,0,0
472,1,4,0,0,0,1,7,0,0
473,1,3,0,0,0,1,7,0,0
474,0,3,0,0,0,0,7,0,0
475,0,3,0,0,0,0,7,0,0
476,1,3,0,0,0,2,7,0,0
477,1,3,0,0,0,2,7,0,0
478,1,3,0,0,0,2,8,0,0
479,1,3,0,0,0,2,8,0,0
480,2,3,0,0,0,2,7,0,0
481,2,3,0,0,0,2,7,0,0
482,2,2,0,0,0,2,8,0,0
483,2,3,0,0,0,2,8,0,0
484,2,2,0,0,0,2,8,0,0
485,1,2,0,0,0,2,8,0,0
486,1,2,0,0,0,1,8,0,0
487,1,2,0,0,0,1,8,0,0
488,1,1,0,0,0,2,7,0,0
489,1,1,0,0,0,2,7,0,0
490,1,2,0,0,0,2,7,0,0
491,1,2,0,0,0,2,7,0,0
492,1,2,0,0,0,2,7,0,0
493,1,2,0,0,0,2,7,0,0
494,1,2,0,0,0,2,7,0,0
495,1,2,0,0,0,2,7,0,0
496,1,2,0,0,0,2,6,0,0
497,1,2,0,0,0,2,7,0,0
498,2,2,0,0,0,2,7,0,0
499,2,2,0,0,0,2,7,0,0
500,2,2,0,0,0,2,6,0,0
501,2,2,0,0,0,2,6,0,0
502,2,2,0,0,0,2,8,0,0
503,2,2,0,0,0,2,8,0,0
504,3,2,0,0,0,2,10,0,0
505,3,2,0,0,0,2,10,0,0
506,3,2,0,0,0,2,7,0,0
507,3,2,0,0,0,2,7,0,0
508,3,2,0,0,0,2,7,0,0
509,3,2,0,0,0,2,7,0,0
510,3,1,0,0,0,2,6,0,0
511,3,1,0,0,0,2,7,0,0
512,3,1,0,0,0,2,6,0,0
513,3,1,0,0,0,2,6,0,0
514,3,2,0,0,0,3,6,0,0
515,3,2,0,0,0,3,6,0,0
516,2,2,0,0,0,2,7,0,0
517,2,2,0,0,0,2,7,0,0
518,1,2,0,0,0,2,7,0,0
519,1,2,0,0,0,2,7,0,0
520,1,1,0,0,0,2,7,0,0
521,2,1,0,0,0,2,7,0,0
522,2,1,0,0,0,2,7,0,0
523,2,1,0,0,0,2,7,0,0
524,2,1,0,0,0,2,7,0,0
525,2,1,0,0,0,2,7,0,0
526,1,1,0,0,0,2,7,0,0
527,2,1,0,0,0,2,7,0,0
528,2,1,0,0,0,1,7,0,0
529,1,1,0,0,0,1,7,0,0
530,2,1,0,0,0,1,6,0,0
531,2,1,0,0,0,2,6,0,0
532,2,1,0,0,0,2,6,0,0
533,3,1,0,0,0,2,6,0,0
534,3,3,0,0,0,2,6,0,0
535,3,3,0,0,0,2,6,0,0
536,2,3,0,0,0,2,5,0,0
537,1,3,0,0,0,2,5,0,0
538,2,2,0,0,0,2,6,0,0
539,3,2,0,0,0,2,5,0,0
540,3,1,1,0,0,2,7,0,0
541,3,1,1,0,0,2,7,0,0
542,3,2,1,0,0,2,7,0,0
543,3,2,1,0,0,2,7,0,0
544,2,3,0,0,0,2,7,0,0
545,2,3,0,0,0,2,7,0,0
546,1,1,0,0,0,1,6,0,0
547,0,1,0,0,0,1,7,0,0
548,2,1,0,0,0,1,7,0,0
549,2,1,0,0,0,1,7,0,0
550,2,1,0,0,0,1,7,0,0
551,3,1,0,0,0,1,7,0,0
552,0,1,0,0,0,1,7,0,0
553,0,1,0,0,0,1,7,0,0
554,0,1,0,0,0,1,6,0,0
555,1,1,0,0,0,1,6,0,0
556,1,1,0,0,0,1,6,0,0
557,1,1,0,0,0,1,6,0,0
558,1,1,0,0,0,2,6,0,0
559,1,1,0,0,0,2,6,0,0
